,時間戳記,照片 Picture,品牌 Brand,衣服長度 Clothes Length,服裝部位 Clothing Part,上半身 衣服種類 Top Clothing Type,下半身衣服種類 Bottom Clothing Type,價格 Price
1239,2024/11/4 下午 9:28:34,https://drive.google.com/open?id=1uanxNJvLA57CYT4GQuo8QoftibXo-QJf,New Balance,長 long,下半身 Bottom,,"休閒褲/裙 casual pants/skirt, 褲子 pants",6480
1240,2024/11/4 下午 9:29:08,https://drive.google.com/open?id=1L90DnYzVL6NWtZubQQXwM3BugD9XOtMz,New Balance,長 long,下半身 Bottom,,"休閒褲/裙 casual pants/skirt, 褲子 pants",6480
1241,2024/11/4 下午 9:30:02,https://drive.google.com/open?id=1TgS9yVFH0ks1wYgNxQguHn0KGX-o-OvG,New Balance,短 short,上半身 Top,"T-Shirt, 運動材質 Sport Tops",,1280
1242,2024/11/4 下午 9:30:30,https://drive.google.com/open?id=1AcNwNm1PK_xdgWA8y_HLpyYkN91E2Dwt,New Balance,短 short,上半身 Top,"T-Shirt, 運動材質 Sport Tops",,1280
1243,2024/11/4 下午 9:31:07,https://drive.google.com/open?id=1Fp1vH6rgdNj5JWIuAi802tO7bI3ME3Xj,New Balance,短 short,下半身 Bottom,,"運動褲/裙 sweat pants / sports skirt, 褲子 pants",1480
1244,2024/11/4 下午 9:31:36,https://drive.google.com/open?id=1cUlAhrbKOD5jWQBSZ-96GQXPa36XUUKf,New Balance,短 short,下半身 Bottom,,"運動褲/裙 sweat pants / sports skirt, 休閒褲/裙 casual pants/skirt, 褲子 pants",1480
1245,2024/11/4 下午 9:32:41,https://drive.google.com/open?id=1rclGDMrJwr4K0X9OGnNMzabY9s2E3lA0,New Balance,短 short,下半身 Bottom,,"休閒褲/裙 casual pants/skirt, 褲子 pants",1880
1246,2024/11/4 下午 9:33:10,https://drive.google.com/open?id=13mrpniS7P4aQeg47ebGikRbRjU7JqVLg,New Balance,短 short,上半身 Top,"T-Shirt, 運動材質 Sport Tops",,2280
1247,2024/11/4 下午 9:33:37,https://drive.google.com/open?id=1AwspkX5iRXP42h2ufcgLKxwc2sMeDA2M,New Balance,短 short,上半身 Top,"T-Shirt, 運動材質 Sport Tops",,2280
1248,2024/11/4 下午 9:34:01,https://drive.google.com/open?id=1yK7Z_ksDJZO8HoipkQk84LaljYBn-LPt,New Balance,短 short,上半身 Top,"T-Shirt, 運動材質 Sport Tops",,2280
1249,2024/11/4 下午 9:34:38,https://drive.google.com/open?id=1Jie82pGhAXTss6KtaOpRerDmhHay0xJY,New Balance,長 long,上半身 Top,"連帽衣 Hoodie, 運動材質 Sport Tops",,2680
1250,2024/11/4 下午 9:35:02,https://drive.google.com/open?id=1idvsNk_aosk1kdX3yWK0aeLBzQZEwxj1,New Balance,長 long,上半身 Top,"連帽衣 Hoodie, 運動材質 Sport Tops",,2680
1251,2024/11/4 下午 9:35:35,https://drive.google.com/open?id=1xHETP2kwsgkWz4rxgCbec4WrAhej6248,New Balance,短 short,上半身 Top,T-Shirt,,2880
1252,2024/11/4 下午 9:35:57,https://drive.google.com/open?id=1pU1c9idsPjbGyqCbGyhwZhx6Cz8uMnSu,New Balance,短 short,上半身 Top,T-Shirt,,2880
1253,2024/11/4 下午 9:36:36,https://drive.google.com/open?id=1wNAoY-g7fMhMTuMyP9TmI1rhtOb8Udmi,New Balance,長 long,下半身 Bottom,,"休閒褲/裙 casual pants/skirt, 裙子 skirt",3880
1254,2024/11/4 下午 9:37:17,https://drive.google.com/open?id=1kLPaAK1fCFyqA3iEy10ivFXJcThT2sFL,New Balance,短 short,上半身 Top,"T-Shirt, 運動材質 Sport Tops",,4680
1255,2024/11/4 下午 9:37:49,https://drive.google.com/open?id=1ilOeLVUNPJUJFBFWqIO75eoBjonbA64q,New Balance,長 long,下半身 Bottom,,"休閒褲/裙 casual pants/skirt, 裙子 skirt",4680
1256,2024/11/4 下午 9:38:41,https://drive.google.com/open?id=10SZ97UiTFhKHknR2lNnz01vKpgroO9Gv,New Balance,長 long,上半身 Top,"T-Shirt, 運動材質 Sport Tops",,4880
1257,2024/11/4 下午 9:39:13,https://drive.google.com/open?id=1a_-wvGSB8NfRKyPFe_zUPEdX3AK4dMGv,New Balance,長 long,上半身 Top,"T-Shirt, 運動材質 Sport Tops",,4880
1258,2024/11/4 下午 9:39:40,https://drive.google.com/open?id=1EVtKBx9yaULC7JrfR7qr-jllvRKWulh4,New Balance,長 long,上半身 Top,T-Shirt,,5280
1259,2024/11/4 下午 9:40:11,https://drive.google.com/open?id=1Pgif6y1JEHSVTCJgBbGpBU09-GOLxhAx,New Balance,長 long,上半身 Top,Shirt,,5480
1260,2024/11/4 下午 9:40:36,https://drive.google.com/open?id=1YWB-QD5T1RQHM5xPYgz0oXV6js4mauQL,New Balance,長 long,上半身 Top,Shirt,,5480
1261,2024/11/4 下午 9:41:02,https://drive.google.com/open?id=1Ttk2woTz0cKLfQkJ7udlbLLWoi7gFCU5,New Balance,長 long,上半身 Top,"連帽衣 Hoodie, 運動材質 Sport Tops",,5880
1262,2024/11/5 下午 12:00:44,https://drive.google.com/open?id=1c8V3WdvGjJfgVjyiUs-I6M523ePHnsVt,New Balance,短 short,上半身 Top,背心 Vest,,6080
1263,2024/11/5 下午 12:01:11,https://drive.google.com/open?id=1cYupDeqHD1GW2DWSQYAbuyUilbjK-uMY,New Balance,短 short,上半身 Top,背心 Vest,,6080
1264,2024/11/5 下午 8:09:19,https://drive.google.com/open?id=1gUH33sW8YsyGUjQ52s05Np-hkt8rmJyD,New Balance,短 short,上半身 Top,"T-Shirt, 運動材質 Sport Tops",,1380
1265,2024/11/5 下午 8:09:44,https://drive.google.com/open?id=1SuTEkreUX8PeLjB6rcm0lpuVE9f9uwh0,New Balance,短 short,上半身 Top,"T-Shirt, 運動材質 Sport Tops",,1380
1266,2024/11/5 下午 8:11:35,https://drive.google.com/open?id=1JvrYE9EqDzfLmG8sn49yhUyfFx2m_5XR,New Balance,長 long,上半身 Top,"外套 Jacket, 連帽衣 Hoodie, 運動材質 Sport Tops",,6280
1267,2024/11/5 下午 8:11:58,https://drive.google.com/open?id=18sclKnDeuELpHbvDPuz9DuUm9MZWLTtI,New Balance,長 long,上半身 Top,"外套 Jacket, 連帽衣 Hoodie, 運動材質 Sport Tops",,6280
1268,2024/11/5 下午 8:14:53,https://drive.google.com/open?id=1dJjJpl9rRguHt76QVdK9dl2MXRQxzjgV,New Balance,長 long,上半身 Top,T-Shirt,,1880
1269,2024/11/5 下午 8:15:16,https://drive.google.com/open?id=1RrJOtO9IZjGCjNfK1S59boC2XVaP5G9k,New Balance,長 long,上半身 Top,T-Shirt,,1880
1270,2024/11/5 下午 8:16:52,https://drive.google.com/open?id=12KVeuVFMBE6dyGaWzKGp2WvG_VdAQXn0,New Balance,長 long,上半身 Top,連帽衣 Hoodie,,4080
1271,2024/11/5 下午 8:17:14,https://drive.google.com/open?id=13GNFDAKdjLeLMgnk3Lev33iD9G6x0qOT,New Balance,長 long,上半身 Top,連帽衣 Hoodie,,4080
1272,2024/11/5 下午 8:18:24,https://drive.google.com/open?id=1dIRbkc56MD-Fc41UnoamvC1QrHg_KUwF,New Balance,長 long,上半身 Top,"外套 Jacket, 連帽衣 Hoodie",,8280
1273,2024/11/5 下午 8:18:45,https://drive.google.com/open?id=1g79gZDLxJPb_NktJ007E4dNoMu90FZ_W,New Balance,長 long,上半身 Top,"外套 Jacket, 連帽衣 Hoodie",,8280
1274,2024/11/5 下午 8:20:30,https://drive.google.com/open?id=140WcZqOyXOFzELoHMbdgp1_a6vYanH0Y,New Balance,長 long,下半身 Bottom,,休閒褲/裙 casual pants/skirt,4280
1275,2024/11/5 下午 8:20:53,https://drive.google.com/open?id=10Hqf36MlRca6Xuy3VCirLofq4ZS6t0Rw,New Balance,長 long,下半身 Bottom,,"休閒褲/裙 casual pants/skirt, 褲子 pants",4280
1276,2024/11/5 下午 8:21:45,https://drive.google.com/open?id=1Cr03A0lxplgns1G_IQTOJBiZGG74nLWW,New Balance,長 long,上半身 Top,T-Shirt,,5080
1277,2024/11/5 下午 8:22:16,https://drive.google.com/open?id=1RFXHOzNsxGMrWmEbrvShpc3anEHBa0_0,New Balance,長 long,上半身 Top,T-Shirt,,5080
1278,2024/11/5 下午 8:23:18,https://drive.google.com/open?id=1S4pVggSTcbES7xRTwda79drZoZiJyQyC,New Balance,長 long,下半身 Bottom,,"運動褲/裙 sweat pants / sports skirt, 休閒褲/裙 casual pants/skirt, 褲子 pants",6480
1279,2024/11/5 下午 8:23:40,https://drive.google.com/open?id=1HWhv-6CPcCexkMDOaVR1NsJUObiCyWMx,New Balance,長 long,下半身 Bottom,,"運動褲/裙 sweat pants / sports skirt, 休閒褲/裙 casual pants/skirt, 褲子 pants",6480
1280,2024/11/5 下午 8:24:19,https://drive.google.com/open?id=1VZXFntfRd8OP6xF467d74SzEfWBx9HhA,New Balance,長 long,上半身 Top,"T-Shirt, 毛衣、針織衣 Sweater",,4880
1281,2024/11/5 下午 8:24:59,https://drive.google.com/open?id=14SFkpt5UHF6VSPBtRtm9aRDADqPqGJ6w,New Balance,短 short,上半身 Top,"T-Shirt, 運動材質 Sport Tops",,1080
1282,2024/11/5 下午 8:25:22,https://drive.google.com/open?id=1PhABKLMTp38UCAuJLEXdLjo9ezm-U-6z,New Balance,短 short,上半身 Top,"T-Shirt, 運動材質 Sport Tops",,1080
1283,2024/11/5 下午 8:26:08,https://drive.google.com/open?id=1t9HnnL2Zp4B__ipq6h2cvcxzLRV7RM6X,New Balance,短 short,上半身 Top,"背心 Vest, 運動材質 Sport Tops",,3280
1284,2024/11/5 下午 8:26:29,https://drive.google.com/open?id=1HhDai1egutuCUT-Qw4QlZC-owM2eY7oi,New Balance,短 short,上半身 Top,"背心 Vest, 運動材質 Sport Tops",,3280
1285,2024/11/5 下午 8:28:24,https://drive.google.com/open?id=1-4HpL3M1H4ab5D-NQ-i7PrauKEF9e54C,New Balance,長 long,上半身 Top,"外套 Jacket, 運動材質 Sport Tops",,6880
1286,2024/11/5 下午 8:28:46,https://drive.google.com/open?id=1GImIeL_49-_0IpQlDKDZTqQXviNgLnvA,New Balance,長 long,上半身 Top,"外套 Jacket, 運動材質 Sport Tops",,6880
1287,2024/11/5 下午 8:29:42,https://drive.google.com/open?id=10sM8IciMrw9farTTrU5WeSvtfuONb39g,New Balance,長 long,下半身 Bottom,,"休閒褲/裙 casual pants/skirt, 褲子 pants",6280
1288,2024/11/5 下午 8:30:27,https://drive.google.com/open?id=1l8cwpRCGIdeGh5ptbYyaZGqmB0UPRX2J,New Balance,短 short,上半身 Top,"T-Shirt, 運動材質 Sport Tops",,1080
1289,2024/11/5 下午 8:30:47,https://drive.google.com/open?id=1G4X8nltQRdrwnVwjpUQ_Yb5Xt0i0Z5il,New Balance,短 short,上半身 Top,"T-Shirt, 運動材質 Sport Tops",,1080
1290,2024/11/5 下午 8:32:46,https://drive.google.com/open?id=1JReOKPMZXzBZuUrres9U8FP-tzUpyFoL,New Balance,短 short,下半身 Bottom,,"運動褲/裙 sweat pants / sports skirt, 休閒褲/裙 casual pants/skirt, 褲子 pants",1980
1291,2024/11/5 下午 8:33:10,https://drive.google.com/open?id=1UkX3Aow9qadfo44OJFhfElaPqRnYE07m,New Balance,短 short,下半身 Bottom,,"運動褲/裙 sweat pants / sports skirt, 休閒褲/裙 casual pants/skirt, 褲子 pants",1980
1292,2024/11/5 下午 8:33:31,https://drive.google.com/open?id=1wLEJjFZp0X3DiwKlr8Soi850nMWB7yw4,New Balance,短 short,下半身 Bottom,,"運動褲/裙 sweat pants / sports skirt, 休閒褲/裙 casual pants/skirt, 褲子 pants",1980
1293,2024/11/5 下午 8:34:20,https://drive.google.com/open?id=16DhsjiZMpQCl6gqcxPu6_XbLjNp5m0Xv,New Balance,短 short,下半身 Bottom,,"休閒褲/裙 casual pants/skirt, 褲子 pants",4080
1294,2024/11/5 下午 8:34:44,https://drive.google.com/open?id=1T1GCPv9fsJxxPwkAaVCH0ki5ZOCFpQsm,New Balance,短 short,下半身 Bottom,,"休閒褲/裙 casual pants/skirt, 褲子 pants",4080
1295,2024/11/5 下午 8:36:04,https://drive.google.com/open?id=1HqTueO0qtRxeN_7LPhPca8gPJ4M8MGFR,New Balance,短 short,上半身 Top,Shirt,,3280
1296,2024/11/5 下午 8:36:26,https://drive.google.com/open?id=18dR1Xt2qoLPz_p7zwVW_8lF2LyEmK3yO,New Balance,短 short,上半身 Top,Shirt,,3280
1297,2024/11/5 下午 8:36:46,https://drive.google.com/open?id=1nF9AfFAeupP4F19tjIReZuuAE4k225q8,New Balance,短 short,上半身 Top,Shirt,,3280
1298,2024/11/5 下午 8:37:29,https://drive.google.com/open?id=1qPbvhZgZdfETWxRVYDgk5MICKqgFmPC2,New Balance,長 long,上半身 Top,"外套 Jacket, 運動材質 Sport Tops",,6280
1299,2024/11/5 下午 8:37:51,https://drive.google.com/open?id=1Nt3IgvqC6UsY8tC5N7fGnA5bKUPM4pCo,New Balance,長 long,上半身 Top,"外套 Jacket, 運動材質 Sport Tops",,6280
1300,2024/11/5 下午 8:38:51,https://drive.google.com/open?id=1z8MD78-GupbnOBfgR6msRUaksCU8_GWV,New Balance,短 short,上半身 Top,"T-Shirt, 運動材質 Sport Tops",,2580
1301,2024/11/5 下午 8:39:14,https://drive.google.com/open?id=1z3Hgtq4Fs3O9L3Z6i_RJX9cVjpkMckNS,New Balance,短 short,上半身 Top,"T-Shirt, 運動材質 Sport Tops",,2580
1302,2024/11/5 下午 8:40:07,https://drive.google.com/open?id=1ff4TYby9DPsx_glN1T4Zbm8qmt5OnK-J,New Balance,短 short,下半身 Bottom,,"休閒褲/裙 casual pants/skirt, 褲子 pants",2980
1303,2024/11/5 下午 8:40:33,https://drive.google.com/open?id=1Ldphnn0puKDFoM9IxeI6irHu65WTBlYO,New Balance,短 short,下半身 Bottom,,"休閒褲/裙 casual pants/skirt, 褲子 pants",2980
1304,2024/11/5 下午 8:41:13,https://drive.google.com/open?id=1suTS8gjTJKB9eJ7XEcUNNZyZ8iFxYXG0,New Balance,長 long,上半身 Top,Shirt,,9480
1305,2024/11/5 下午 8:41:31,https://drive.google.com/open?id=1wwlUrtE2xXhEA39Uh0Y6TQUQFYKRsjzs,New Balance,長 long,上半身 Top,Shirt,,9480
1306,2024/11/5 下午 8:42:21,https://drive.google.com/open?id=1_HF0RjcTTqSMEZKXDD0qmGNDQX-KFBSj,New Balance,長 long,上半身 Top,"T-Shirt, 毛衣、針織衣 Sweater",,5280
1307,2024/11/5 下午 8:43:40,https://drive.google.com/open?id=1Pe-HsR4230VbeAzdjSreim3Ftc6lCXeH,New Balance,長 long,上半身 Top,"外套 Jacket, 連帽衣 Hoodie",,6880
1308,2024/11/5 下午 8:44:00,https://drive.google.com/open?id=1TUEh6y6DHWR284_1Z4XmPX2g5GS5BZHn,New Balance,長 long,上半身 Top,"外套 Jacket, 連帽衣 Hoodie",,6880
1309,2024/11/5 下午 8:44:51,https://drive.google.com/open?id=1rWtRmjzpTFqpvPrYBQAmDMTPLlEgHQV8,New Balance,短 short,上半身 Top,"T-Shirt, 運動材質 Sport Tops",,1980
1310,2024/11/5 下午 8:45:15,https://drive.google.com/open?id=1jaaxnarNZwchBiEh5Gm0C9S-swWpbRtt,New Balance,短 short,上半身 Top,"T-Shirt, 運動材質 Sport Tops",,1980
1311,2024/11/5 下午 8:46:20,https://drive.google.com/open?id=133LRX1FaFMTJFibmC6nW0WrDOmsZdGjv,New Balance,長 long,上半身 Top,外套 Jacket,,6280
1312,2024/11/5 下午 8:47:18,https://drive.google.com/open?id=1oUXgfpTPszSc1HuXl48Hkbs2LXGOOe8h,New Balance,長 long,上半身 Top,"Shirt, 毛衣、針織衣 Sweater",,5880
1313,2024/11/5 下午 8:47:39,https://drive.google.com/open?id=1HDJwJbNQXDKkYrHRPZhsAlsXVFKPiRu4,New Balance,長 long,上半身 Top,"Shirt, 毛衣、針織衣 Sweater",,5880
1314,2024/11/5 下午 8:47:59,https://drive.google.com/open?id=15yqlAwclMuiv3PS7ICPttEjualYc87Vv,New Balance,長 long,上半身 Top,"Shirt, 毛衣、針織衣 Sweater",,5880
1315,2024/11/5 下午 8:49:03,https://drive.google.com/open?id=1QfvfPLVHwo2mmddwdL8GO8uwKQqdP1rZ,New Balance,長 long,下半身 Bottom,,"運動褲/裙 sweat pants / sports skirt, 休閒褲/裙 casual pants/skirt, 褲子 pants",5680
1316,2024/11/5 下午 8:49:24,https://drive.google.com/open?id=1H7ap5DzEnafOhdqbZ5I2r6SN6BWF0p3G,New Balance,長 long,下半身 Bottom,,"運動褲/裙 sweat pants / sports skirt, 休閒褲/裙 casual pants/skirt, 褲子 pants",5680
1317,2024/11/5 下午 8:49:45,https://drive.google.com/open?id=1uKwfa7pA1-tD1C_f8bhFMddEyVYmOl-6,New Balance,長 long,下半身 Bottom,,"運動褲/裙 sweat pants / sports skirt, 休閒褲/裙 casual pants/skirt, 褲子 pants",5680
1318,2024/11/5 下午 8:50:06,https://drive.google.com/open?id=10uWGfvVVGxpe0YgbOubIb3k3C7YmLexW,New Balance,長 long,下半身 Bottom,,"運動褲/裙 sweat pants / sports skirt, 休閒褲/裙 casual pants/skirt, 褲子 pants",5680
1319,2024/11/5 下午 8:50:28,https://drive.google.com/open?id=1WW-Xu08TrUbBCDDlwu82e4wWpW5QhruK,New Balance,長 long,下半身 Bottom,,"運動褲/裙 sweat pants / sports skirt, 休閒褲/裙 casual pants/skirt, 褲子 pants",5680
1320,2024/11/5 下午 8:51:09,https://drive.google.com/open?id=1ohTtozrDclhh6KtGOX0uOJPGtOUgQ5-M,New Balance,長 long,下半身 Bottom,,"運動褲/裙 sweat pants / sports skirt, 休閒褲/裙 casual pants/skirt, 褲子 pants",6680
1321,2024/11/5 下午 8:51:28,https://drive.google.com/open?id=1loN15-_zHnsxTEWmWcIw_HG1-i7IPgqU,New Balance,長 long,下半身 Bottom,,"運動褲/裙 sweat pants / sports skirt, 休閒褲/裙 casual pants/skirt, 褲子 pants",6680
1322,2024/11/5 下午 8:52:47,https://drive.google.com/open?id=1ncmA48macTD3kUJnxK5jFTxb7ToFGaQM,New Balance,短 short,上半身 Top,"背心 Vest, 羽絨衣 Down coat / jacket",,7280
1323,2024/11/5 下午 8:53:08,https://drive.google.com/open?id=1Kg5czkAjagBZ5XP8Co-V725vp8Rs_lCd,New Balance,短 short,上半身 Top,"背心 Vest, 羽絨衣 Down coat / jacket",,7280
1324,2024/11/5 下午 8:53:28,https://drive.google.com/open?id=1LOIhzUkRUn5kXYQTqGzGnjjKqLzvctKJ,New Balance,短 short,上半身 Top,"背心 Vest, 羽絨衣 Down coat / jacket",,7280
1325,2024/11/5 下午 8:54:30,https://drive.google.com/open?id=1QfdWW9_VMfw0O3GmAQL9Mh6Z8zXtgQAK,New Balance,長 long,上半身 Top,"外套 Jacket, 連帽衣 Hoodie, 羽絨衣 Down coat / jacket",,9980
1326,2024/11/5 下午 8:54:52,https://drive.google.com/open?id=1BNLh1WLdRUaZenmBcvKlihPOqMxrNxfS,New Balance,長 long,上半身 Top,"外套 Jacket, 連帽衣 Hoodie, 羽絨衣 Down coat / jacket",,9980
1327,2024/11/5 下午 8:55:15,https://drive.google.com/open?id=1As-P85FL88Js-kDrnWxtME8iyLRlXvYz,New Balance,長 long,上半身 Top,"外套 Jacket, 連帽衣 Hoodie, 羽絨衣 Down coat / jacket",,9980
1328,2024/11/5 下午 8:56:18,https://drive.google.com/open?id=1fSCBmFag92V8IB-mOR9Q-TTndE-dhi3Z,New Balance,短 short,上半身 Top,"T-Shirt, 運動材質 Sport Tops",,6280
1329,2024/11/5 下午 8:56:44,https://drive.google.com/open?id=1DFtUXVnSb0TEQnHLmPbnJVaC_XDC0aS9,New Balance,短 short,上半身 Top,"T-Shirt, 運動材質 Sport Tops",,6280
1330,2024/11/5 下午 8:57:22,https://drive.google.com/open?id=1IiejBhMYwq3NlBUNPnRWb5tlULlb1faK,New Balance,長 long,下半身 Bottom,,"休閒褲/裙 casual pants/skirt, 褲子 pants",4280
1331,2024/11/5 下午 8:58:48,https://drive.google.com/open?id=1TfFhIUQAlXXOa1WeodZrFrzHlOpxpJwV,New Balance,短 short,上半身 Top,Shirt,,4280
1332,2024/11/5 下午 8:59:08,https://drive.google.com/open?id=1JcLX_TFYRREdGeHJ5fN6lvvvAnJ3ghZX,New Balance,短 short,上半身 Top,Shirt,,4280
1333,2024/11/5 下午 9:00:06,https://drive.google.com/open?id=1pw1-x1DrHLEAjfnNmtfOmVj5UZWG-3-0,New Balance,長 long,上半身 Top,外套 Jacket,,4880
1334,2024/11/5 下午 9:00:26,https://drive.google.com/open?id=1lxhQMpip7BTNBjghM5N2AisEHyqjRmT0,New Balance,長 long,上半身 Top,外套 Jacket,,4880
1335,2024/11/5 下午 9:01:07,https://drive.google.com/open?id=1WAuKaYsrVd_hGLAyRMKj6SCvQ30WwKBy,New Balance,長 long,上半身 Top,外套 Jacket,,6980
1336,2024/11/5 下午 9:01:25,https://drive.google.com/open?id=1q0sih0m_tJe163V2XCZDx6TGuCpcP9Vr,New Balance,長 long,上半身 Top,外套 Jacket,,6980
1337,2024/11/5 下午 9:02:38,https://drive.google.com/open?id=1nmr-UDNb_SGjI09mj9-T10UeVH_zH_I_,New Balance,長 long,下半身 Bottom,,"休閒褲/裙 casual pants/skirt, 褲子 pants",4280
1338,2024/11/5 下午 9:02:59,https://drive.google.com/open?id=1QFZzirRFHg-pFye_n4_IOxR8A1POeMyS,New Balance,長 long,下半身 Bottom,,"休閒褲/裙 casual pants/skirt, 褲子 pants",4280
1339,2024/11/5 下午 9:04:02,https://drive.google.com/open?id=1jI9YI2USAIdiX2Kt0gSKStgP05kcSll2,New Balance,短 short,上半身 Top,T-Shirt,,1280
1340,2024/11/5 下午 9:04:20,https://drive.google.com/open?id=16DiUTGBzRPpLIkMD-Dy-dIHW7W5S-MKI,New Balance,短 short,上半身 Top,T-Shirt,,1280
1341,2024/11/5 下午 9:04:41,https://drive.google.com/open?id=1ZhujNGIJAw7au7yTs_vBIXggK7oSg2M5,New Balance,短 short,上半身 Top,T-Shirt,,1280
1342,2024/11/5 下午 9:05:14,https://drive.google.com/open?id=1w_uEdZEFyvmpXrVLuvzFvVKw4PomxQsV,New Balance,短 short,上半身 Top,"T-Shirt, 運動材質 Sport Tops",,1480
1343,2024/11/5 下午 9:06:15,https://drive.google.com/open?id=1j9wSFBz6QSeheJnPBYjIjuZkGy4GmwSs,New Balance,短 short,上半身 Top,"T-Shirt, 運動材質 Sport Tops",,1880
1344,2024/11/5 下午 9:06:34,https://drive.google.com/open?id=1pJ4ayR00fgjp5AsR6O6Wckn4Jc0a-nUd,New Balance,短 short,上半身 Top,"T-Shirt, 運動材質 Sport Tops",,1880
1345,2024/11/5 下午 9:07:15,https://drive.google.com/open?id=1xct35xfvHR400OV8uUex6ZSpdnPNakLx,New Balance,長 long,下半身 Bottom,,"西裝褲、裙 dress pants、skirt, 褲子 pants",4280
1346,2024/11/5 下午 9:08:01,https://drive.google.com/open?id=1fTb1JkFSyPmY39gi2GUqEfjXXwv2La2u,New Balance,長 long,上半身 Top,"連帽衣 Hoodie, 運動材質 Sport Tops",,2080
1347,2024/11/5 下午 9:08:46,https://drive.google.com/open?id=16hUaOfcBB3QKkbgUU0-LF4wHFZP4QLcM,New Balance,短 short,上半身 Top,T-Shirt,,2280
1348,2024/11/5 下午 9:09:06,https://drive.google.com/open?id=1Y-4O8NruTqg7-i_p0n04oVqkN3u8Nyyf,New Balance,短 short,上半身 Top,T-Shirt,,2280
1349,2024/11/5 下午 9:09:49,https://drive.google.com/open?id=1ZcZ0eOQx9LP4_3fDVPrrFONsMky2-J95,New Balance,短 short,上半身 Top,"T-Shirt, 運動材質 Sport Tops",,1080
1350,2024/11/5 下午 9:10:08,https://drive.google.com/open?id=1ca_JzvXmuZGFH3-sc4hjfOxQYBjlfCQu,New Balance,短 short,上半身 Top,"T-Shirt, 運動材質 Sport Tops",,1080
1351,2024/11/5 下午 9:11:31,https://drive.google.com/open?id=13W2gHMdhk-d6By38I56x0xmsHlTD1l6a,New Balance,短 short,上半身 Top,T-Shirt,,2880
1352,2024/11/5 下午 9:11:50,https://drive.google.com/open?id=1i7WRr4r1rEQVxgdiGdOUq1Lz1VehQ87v,New Balance,短 short,上半身 Top,T-Shirt,,2880
1353,2024/11/5 下午 9:12:08,https://drive.google.com/open?id=1Y4-jxCGSd6evWJEWj6Q16Hg4vaA4A_wV,New Balance,短 short,上半身 Top,T-Shirt,,2880
1354,2024/11/5 下午 9:12:27,https://drive.google.com/open?id=1EG1itB6iaHIaidgxrRF7FIz4uS0ev-Vt,New Balance,短 short,上半身 Top,T-Shirt,,2880
1355,2024/11/5 下午 9:12:55,https://drive.google.com/open?id=1oq7IROVyS_sBkSHLjJ6qUHu6pgU63IeX,New Balance,短 short,上半身 Top,T-Shirt,,2880
1356,2024/11/5 下午 9:13:14,https://drive.google.com/open?id=1k4UJ_XGox0dD9g4pHExVyhzXf1ZKa5hT,New Balance,短 short,上半身 Top,T-Shirt,,2880
1357,2024/11/5 下午 9:13:35,https://drive.google.com/open?id=1_A6Nr8G9EvHlsDGzbmJjdQk6pli8_vmZ,New Balance,短 short,上半身 Top,T-Shirt,,2880
1358,2024/11/5 下午 9:13:53,https://drive.google.com/open?id=1CMQ-fJWNGY7IB_wvmc7CFBt5lLJcQfMo,New Balance,短 short,上半身 Top,T-Shirt,,2880
1359,2024/11/5 下午 9:15:09,https://drive.google.com/open?id=1_aJBVbLhmV2hzk6KskFE9Q-3RnlwgwrI,New Balance,短 short,下半身 Bottom,,"工裝褲/裙 cargo pants/skirt, 休閒褲/裙 casual pants/skirt, 褲子 pants",1980
1360,2024/11/5 下午 9:15:31,https://drive.google.com/open?id=19XxweK7Gzh8FbLefVXzzQd13ed-s2zFy,New Balance,短 short,下半身 Bottom,,"工裝褲/裙 cargo pants/skirt, 休閒褲/裙 casual pants/skirt, 褲子 pants",1980
1361,2024/11/5 下午 9:16:20,https://drive.google.com/open?id=1rNU9DvUD02wNitc1SQj3yDbaqewz-Vif,New Balance,長 long,下半身 Bottom,,"西裝褲、裙 dress pants、skirt, 褲子 pants",4280
1362,2024/11/5 下午 9:16:59,https://drive.google.com/open?id=1z-8hexFyEmITn01lF_lTBXauzw1LbwT5,New Balance,短 short,上半身 Top,T-Shirt,,1280
1363,2024/11/5 下午 9:17:18,https://drive.google.com/open?id=1uukVX4o0Jsv6DAf0W7VU9D6pQsevvlAM,New Balance,短 short,上半身 Top,T-Shirt,,1280
1364,2024/11/5 下午 9:17:46,https://drive.google.com/open?id=1JeRdU6pBHRy2fG1bRBqhS_FQDd1mvnAU,New Balance,短 short,上半身 Top,"背心 Vest, 運動材質 Sport Tops",,2680
1365,2024/11/5 下午 9:18:53,https://drive.google.com/open?id=10ACxgHzyas77V3WV9pzjhEfk5ZKZfzAp,New Balance,短 short,下半身 Bottom,,"運動褲/裙 sweat pants / sports skirt, 休閒褲/裙 casual pants/skirt, 褲子 pants",5080
1366,2024/11/5 下午 9:19:28,https://drive.google.com/open?id=1_F-X6Qk8dlvl103D6PFPsIPqibG7ejDo,New Balance,短 short,上半身 Top,T-Shirt,,1280
1367,2024/11/5 下午 9:19:47,https://drive.google.com/open?id=1y-ZpCdYnOoga1Bzt5bfQEkmWrRP1qssH,New Balance,短 short,上半身 Top,T-Shirt,,1280
1368,2024/11/5 下午 9:20:11,https://drive.google.com/open?id=1jMd-Pwu26LoN4neM16L32aZ79Jte-Kns,New Balance,短 short,上半身 Top,T-Shirt,,1280
